t,o,h,l,c,v,s
1735691220,0.31801,0.31804,0.3179,0.31804,5589,DOGE_USDT
1735691220,190.4,190.42,190.28,190.34,419,SOL_USDT
1735691220,2.0945,2.0952,2.0939,2.0949,439,XRP_USDT
1735691220,3348.95,3348.95,3346.5,3347,4502,ETH_USDT
1735691280,0.31807,0.31821,0.31805,0.31815,17935,DOGE_USDT
1735691280,3347,3347.55,3346.2,3347.25,23045,ETH_USDT
1735691280,2.0955,2.0955,2.0948,2.0948,56,XRP_USDT
1735691280,93703.4,93721.9,93703.4,93711,9379,BTC_USDT
1735691280,190.4,190.42,190.33,190.39,49,SOL_USDT
1735691340,3347.2,3349.4,3346.6,3348.7,6457,ETH_USDT
1735691340,0.31814,0.31844,0.31809,0.31844,3939,DOGE_USDT
1735691340,190.49,190.7,190.49,190.62,630,SOL_USDT
1735691340,93711,93743.9,93711,93743.9,5988,BTC_USDT
1735691340,2.0953,2.098,2.0953,2.0974,268,XRP_USDT
1735691400,190.61,190.87,190.58,190.86,125,SOL_USDT
1735691400,2.0972,2.0978,2.0962,2.0974,232,XRP_USDT
1735691400,3348.7,3349.75,3348.2,3349.1,16632,ETH_USDT
1735691400,93746.8,93776.3,93737.5,93776.2,13216,BTC_USDT
1735691400,0.31839,0.31869,0.31839,0.31868,3364,DOGE_USDT
1735691460,2.0982,2.1002,2.0982,2.0999,5630,XRP_USDT
1735691460,3349.3,3355.25,3349.15,3353.1,112142,ETH_USDT
1735691460,93782.2,93852,93782.2,93824.5,119462,BTC_USDT
1735691460,0.31867,0.31895,0.31863,0.31887,25426,DOGE_USDT
1735691460,190.83,191.09,190.78,191.09,513,SOL_USDT
1735691520,93820.7,93952,93820.7,93911.8,165924,BTC_USDT
1735691520,191.09,191.28,191.04,191.22,362,SOL_USDT
1735691520,0.31891,0.31952,0.31891,0.31939,36494,DOGE_USDT
1735691520,3353.1,3359.25,3353.1,3355.7,119009,ETH_USDT
1735691520,2.1003,2.1086,2.1003,2.1072,3213,XRP_USDT
1735691580,0.31932,0.31938,0.3191,0.31927,43692,DOGE_USDT
1735691580,93911.8,93922.9,93865,93872.2,109008,BTC_USDT
1735691580,3355.75,3358,3355.1,3356.95,36937,ETH_USDT
1735691580,2.1067,2.1083,2.1048,2.1063,1209,XRP_USDT
1735691580,191.21,191.22,191.08,191.12,594,SOL_USDT
1735691640,3356.95,3356.95,3355.25,3356.45,15698,ETH_USDT
1735691640,191.19,191.25,191.1,191.17,326,SOL_USDT
1735691640,93873.3,93874.9,93863.1,93868.5,17706,BTC_USDT
1735691640,0.31927,0.31935,0.31894,0.31894,14455,DOGE_USDT
1735691640,2.1053,2.1054,2.1037,2.1046,540,XRP_USDT
1735691700,93868.6,93884.9,93856.1,93868.8,69737,BTC_USDT
1735691700,0.31894,0.31899,0.31876,0.31888,10598,DOGE_USDT
1735691700,2.104,2.1048,2.1029,2.1029,352,XRP_USDT
1735691700,3356.4,3357.35,3355.9,3357.35,15054,ETH_USDT
1735691700,191.12,191.43,191.12,191.35,240,SOL_USDT
1735691760,191.27,191.32,191.2,191.32,204,SOL_USDT
1735691760,0.31885,0.31896,0.31871,0.31896,4935,DOGE_USDT
1735691760,93861.1,93861.1,93821,93839.5,36753,BTC_USDT
1735691760,3357.3,3357.65,3356,3356.65,9498,ETH_USDT
1735691760,2.1021,2.1021,2.1003,2.1015,477,XRP_USDT
1735691820,191.29,191.3,191.19,191.23,362,SOL_USDT
1735691820,93841.7,93857.5,93814.2,93825.5,47024,BTC_USDT
1735691820,3356.6,3356.6,3355.15,3356.25,9549,ETH_USDT
1735691820,0.31895,0.31895,0.31865,0.31872,3044,DOGE_USDT
1735691820,2.1016,2.1016,2.1,2.1001,16,XRP_USDT
1735691880,191.26,191.45,191.26,191.45,221,SOL_USDT
1735691880,3356.3,3359.15,3356.3,3359.15,13778,ETH_USDT
1735691880,2.1002,2.1025,2.1002,2.1025,667,XRP_USDT
1735691880,0.31875,0.319,0.31875,0.319,1750,DOGE_USDT
1735691880,93825.5,93904,93825.5,93904,71756,BTC_USDT
1735691940,0.31894,0.31908,0.31883,0.31908,19028,DOGE_USDT
1735691940,191.4,191.45,191.34,191.37,125,SOL_USDT
1735691940,3358.9,3360.2,3358.15,3359.95,17544,ETH_USDT
1735691940,2.1016,2.1021,2.1001,2.1021,480,XRP_USDT
1735691940,93902.3,93902.3,93861,93894.4,30640,BTC_USDT
1735692000,2.1019,2.1019,2.1002,2.1002,1167,XRP_USDT
1735692000,0.31903,0.31909,0.31891,0.31891,31041,DOGE_USDT
1735692000,3359.95,3361.25,3359.4,3360.15,21513,ETH_USDT
1735692000,191.37,191.5,191.32,191.46,254,SOL_USDT
1735692000,93891.1,93931.3,93870.6,93911,50820,BTC_USDT
1735692060,2.1004,2.1005,2.097,2.098,2522,XRP_USDT
1735692060,93911,93911,93863.7,93863.8,40118,BTC_USDT
1735692060,0.31891,0.31895,0.31855,0.31855,7141,DOGE_USDT
1735692060,191.4,191.46,191.24,191.24,273,SOL_USDT
1735692060,3360.25,3360.25,3355.55,3355.55,23938,ETH_USDT
1735692120,0.3186,0.31867,0.31847,0.31851,10738,DOGE_USDT
1735692120,3355.55,3357.95,3355.45,3355.9,11286,ETH_USDT
1735692120,191.23,191.23,191.03,191.13,437,SOL_USDT
1735692120,93868.9,93893.7,93864.5,93879.7,5137,BTC_USDT
1735692120,2.0985,2.0997,2.0976,2.0979,281,XRP_USDT
1735692180,3356.15,3357.85,3356.15,3356.6,10023,ETH_USDT
1735692180,191.16,191.25,191.16,191.2,156,SOL_USDT
1735692180,93877.8,93901.9,93877.7,93881.2,14335,BTC_USDT
1735692180,0.31857,0.3189,0.31857,0.31875,3171,DOGE_USDT
1735692180,2.0982,2.1003,2.0982,2.0991,271,XRP_USDT
1735692240,93881.3,93894.1,93858.7,93858.7,11275,BTC_USDT
1735692240,0.31873,0.31876,0.31865,0.31874,2920,DOGE_USDT
1735692240,2.0993,2.0995,2.0981,2.0995,837,XRP_USDT
1735692240,3356.9,3357.65,3355.7,3355.9,8387,ETH_USDT
1735692240,191.18,191.21,191.04,191.21,51,SOL_USDT
1735692300,2.0992,2.0992,2.0978,2.0983,165,XRP_USDT
1735692300,3355.7,3356,3353.5,3353.95,9550,ETH_USDT
1735692300,0.31868,0.3187,0.31854,0.31854,1496,DOGE_USDT
1735692300,191.21,191.26,191.09,191.2,85,SOL_USDT
1735692300,93858.7,93862.5,93841.9,93841.9,10645,BTC_USDT
1735692360,0.31863,0.31887,0.31863,0.31887,153,DOGE_USDT
1735692360,2.0986,2.1004,2.0985,2.1004,51,XRP_USDT
1735692360,3354.35,3356.3,3354.2,3356.3,4693,ETH_USDT
1735692360,191.25,191.43,191.24,191.4,92,SOL_USDT
1735692360,93842,93875.2,93839.9,93875.2,14931,BTC_USDT
1735692420,2.1012,2.1026,2.101,2.1025,935,XRP_USDT
